,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,CM2,#NAME?,1,1,#NAME?,,1AS,#NAME?,,MS,"123,000.00 DZD",,,AUTISTE,#NAME?,,,CM1,#NAME?,,3AM,#NAME?,,3AS,#NAME?,,MS,"52,000.00 DZD",,AUTISTE,#NAME?
DESIGNATION ,MONTANT ,2,,CE2,#NAME?,2,2,#NAME?,,1AS,#NAME?,,GS,#NAME?,,,AUTISTE,#NAME?,,,CE1,#NAME?,,1AM,#NAME?,,3AS,#NAME?,,GS,#NAME?,,AUTISTE,#NAME?
ENTRÉE  ANNEE 2020/2021 (AVRIL-JUILLET ),"66,407,500.00DZD",,,CE1,#NAME?,1,1,#NAME?,,1AS,#NAME?,,GS,"153,000.00 DZD",,,1cs,#NAME?,,,CP,#NAME?,,1AM,#NAME?,,3AS,#NAME?,,GS,#NAME?,,3CS,#NAME?
ENTREE ANNÉE 2021/2022 (avril-juillet ),"20,656,450.00DZD",,,2AP,#NAME?,2,2,#NAME?,,3AS,#NAME?,,GS,"139,500.00 DZD",,,3CS,#NAME?,,,CP,#NAME?,,1AM,#NAME?,,2AS,#NAME?,,GS,#NAME?,,3CS,#NAME?
TOTAL  ENTREE ANNÉE 2020/2021/2022 (avril-juillet ),"87,063,950.00DZD",,,CM1,#NAME?,1,1,#NAME?,,1AS,#NAME?,,GS,"153,000.00 DZD",,,3CS,#NAME?,,,CE1,#NAME?,,3AM,#NAME?,,2AS,#NAME?,,MS,#NAME?,,3CS,#NAME?
Chiffre d'affaire 2021/2022 ,"272 114 885,00 DZD",,,CE2,"247,998.00 DZD",2,2,"298,000.00 DZD",,2AS,"323,000.00 DZD",,GS,"113,000.00 DZD",,,3CS,"243,000.00 DZD",,,CE2,"283,000.00 DZD",,2AM,"278,000.00 DZD",,1AS,"323,000.00 DZD",,MS,"113,000.00 DZD",,2CS,"228,000.00 DZD"
Total remise 2021 2022,"12 929 500,00 DZD",,,CE2,#NAME?,1,1,0.00 DZD,,3AS,#NAME?,,GS,"196,000.00 DZD",,,2CS,#NAME?,,,CE1,#NAME?,,4AM,#NAME?,,2AS,#NAME?,,GS,#NAME?,,2CS,#NAME?
CRÉANCES  ANNEE 2021/2022 - 28/03/2022,#NAME?,,,CM2,#NAME?,2,2,#NAME?,,1AS,#NAME?,,GS,#NAME?,,,2CS,#NAME?,,,CM1,#NAME?,,1AM,#NAME?,,2AS,#NAME?,,GS,"143,000.00 DZD",,4cs,#NAME?
MONTANT CLIENT À RISQUE ,,,,CE2,#NAME?,1,1,#NAME?,,3AS,#NAME?,,GS,"139,500.00 DZD",,,3CS,#NAME?,,,CE1,#NAME?,,2AM,0.00 DZD,,1AS,#NAME?,,GS,"143,000.00 DZD",,3CS,#NAME?
MONTANT Global creances  2021/2022 EN SEPTEMBRE ,"22,586,750.00 DZD",,,CP,#NAME?,2,2,#NAME?,,2AS,#NAME?,,MS,#NAME?,,,AUTISTE,#NAME?,,,CE2,#NAME?,,4AM,#NAME?,,1AS,#NAME?,,GS,#NAME?,,AUTISTE,#NAME?
CREANCE  REGULARISE A CE JOURS ,"8,928,100.00 DZD",,,CM1,#NAME?,1,1,#NAME?,,2AS,#NAME?,,GS,#NAME?,,,4cs,#NAME?,,,CM2,#NAME?,,2AM,#NAME?,,1AS,#NAME?,,GS,#NAME?,,3CS,#NAME?
CREANCES DES ANNÉES PRÉCÉDENTES (TOUJOURS CLIENTS ),"13,658,650.00DZD",,,CE2,#NAME?,2,2,#NAME?,,2AS,#NAME?,,MS,#NAME?,,,2cs,#NAME?,,,CE1,#NAME?,,3AM,#NAME?,,3AS,#NAME?,,GS,#NAME?,,1CS,#NAME?
